year,owner_type2,parcels,median_value,median_value_adj
2021,rest of Wisconsin landlord,2289,82000,89376.08089904227
2021,suburbs landlord,12164,98450,107305.79468915501
2021,NA,8,112750,122892.1112361831
2022,bank,118,119150,119150
2022,City of Milwaukee,124,53800,53800
2022,City of Milwaukee landlord,18826,90300,90300
2022,outside WI landlord,7110,96300,96300
2022,owner occupied,94997,154400,154400
2022,rest of Wisconsin landlord,2197,97300,97300
2022,suburbs landlord,11757,118400,118400
2022,NA,11,118400,118400
