year,aldermanic,parcels,own_ocp,landlord,median_value,median_value_adj,pct_own_ocp,pct_landlord
1997,9,7948,6723,1219,69350,131531.6688514357,84.58731756416708,15.337191746351284
1997,NA,4,3,1,36250,68753.03526841449,75,25
1998,1,10600,8244,2340,41800,78013.22972972973,77.77358490566037,22.07547169811321
1998,10,10167,8489,1669,73300,136803.1038083538,83.49562309432478,16.41585521786171
1998,11,11191,10328,860,100400,187381.05896805896,92.28844607273702,7.684746671432401
1998,12,6347,3901,2429,36100,67375.06203931203,61.462108082558686,38.27004884197259
1998,13,10306,9580,721,94000,175436.44963144962,92.95555986803804,6.99592470405589
1998,14,11352,9501,1841,80300,149867.52027027027,83.69450317124736,16.21740662438337
1998,15,8563,4393,4084,21300,39753.152948402945,51.302113745182766,47.69356533925026
1998,2,9348,8066,1275,59200,110487.63636363637,86.28583654257595,13.639281129653401
1998,3,5744,4206,1535,110200,205671.24201474202,73.22423398328691,26.723537604456826
1998,4,1379,826,547,46100,86038.51412776412,59.89847715736041,39.66642494561276
1998,5,11321,10237,1084,82100,153226.94164619164,90.42487412772722,9.575125872272768
1998,6,9061,5342,3675,25700,47965.071867321865,58.95596512526211,40.55843725858073
1998,7,11341,8395,2909,47500,88651.39742014742,74.02345472180583,25.650295388413717
1998,8,7157,5476,1667,54600,101902.4484029484,76.51250523962554,23.29188207349448
1998,9,7962,6705,1250,74500,139042.71805896805,84.21250941974378,15.699572971615172
1998,NA,4,2,2,37950,70827.80067567568,50,50
1999,1,10605,8169,2411,42100,77058.47048192771,77.02970297029704,22.734559170202733
1999,10,10168,8501,1661,73600,134715.04578313252,83.60542879622345,16.33556254917388
1999,11,11195,10343,851,100600,184134.9674698795,92.38945958016971,7.601607860652076
1999,12,6330,3852,2459,36200,66259.30240963855,60.85308056872037,38.846761453396525
1999,13,10307,9589,717,94200,172420.6156626506,93.03386048316678,6.956437372659358
1999,14,11351,9501,1839,80600,147527.61807228916,83.70187648665316,16.20121575191613
1999,15,8496,4430,3984,21900,40085.04759036144,52.142184557438796,46.89265536723164
1999,2,9352,8037,1298,59500,108906.86445783133,85.93883661248931,13.879384088964928
1999,3,5737,4193,1541,110900,202987.75240963855,73.08697925745163,26.860728603799895
1999,4,1375,821,551,47500,86942.4548192771,59.70909090909091,40.07272727272727
1999,5,11339,10246,1088,82500,151005.31626506025,90.36070200194021,9.5952023988006
1999,6,9019,5287,3675,26000,47589.554216867466,58.620689655172406,40.74731123184389
1999,7,11332,8345,2938,47900,87674.60180722892,73.64101659018708,25.92657959759972
1999,8,7160,5440,1710,54800,100304.13734939758,75.97765363128491,23.88268156424581
1999,9,7974,6718,1247,74700,136728.45,84.24880862804113,15.63832455480311
1999,NA,4,3,1,37950,69462.4454819277,75,25
2000,1,10595,8215,2357,48600,85753.03484320558,77.53657385559227,22.246342614440774
2000,10,10160,8546,1601,84000,148215.1219512195,84.11417322834646,15.75787401574803
2000,11,11199,10369,827,107200,189150.72706155633,92.58862398428431,7.3845879096347895
2000,12,6314,3863,2435,40200,70931.52264808363,61.18150142540386,38.565093443142224
2000,13,10319,9617,701,102500,180857.7380952381,93.19701521465258,6.793293923829828
2000,14,11348,9564,1779,88800,156684.55749128922,84.27916813535424,15.676771237222416
2000,15,8438,4564,3797,27050,47728.79819976771,54.08864659872008,44.99881488504385
2000,2,9354,8077,1269,67000,118219.2044134727,86.34808638015822,13.566388710711994
2000,3,5729,4162,1561,134400,237144.19512195123,72.64793157619131,27.247338104381218
2000,4,1333,793,538,54200,95634.04297328688,59.489872468117035,40.36009002250563
2000,5,11367,10284,1071,90100,158978.36295005807,90.47242016363157,9.422011084718923
2000,6,8985,5380,3549,31400,55404.22415795587,59.87757373400111,39.4991652754591
2000,7,11297,8383,2881,55800,98457.18815331011,74.20554129414889,25.502345755510312
2000,8,7155,5508,1642,59400,104809.26480836238,76.9811320754717,22.94898672257163
2000,9,7970,6710,1251,81700,144156.85075493614,84.19071518193223,15.696361355081557
2000,NA,4,4,0,41850,73842.89111498257,100,0
2001,1,10589,8212,2341,48600,83098.88913899832,77.55217678723203,22.107847766550194
2001,10,10151,8566,1583,84200,143969.68036015757,84.38577480051227,15.594522707122453
2001,11,11199,10376,818,107300,183467.3005064716,92.65112956513974,7.304223591392088
2001,12,6302,3852,2430,40200,68736.11817670231,61.12345287210409,38.55918755950492
2001,13,10325,9648,675,102600,175430.98818232978,93.44309927360774,6.5375302663438255
2001,14,11381,9588,1782,89000,152176.97805289816,84.24567261224848,15.657675072489235
2001,15,8408,4587,3714,27300,46679.005627462015,54.55518553758325,44.17221693625119
2001,2,9358,8096,1246,67100,114731.18232976928,86.51421243855525,13.314810857020731
2001,3,5896,4266,1628,136000,232540.10129431626,72.35413839891451,27.611940298507463
2001,4,1844,1238,600,77350,132257.1826111424,67.13665943600867,32.53796095444685
2001,5,11381,10322,1046,90400,154570.77321328083,90.69501801247694,9.190756524031281
2001,6,8969,5373,3523,31500,53860.39110861002,59.90634407403278,39.27974133125209
2001,7,11273,8350,2883,56000,95751.8064153067,74.07078860995298,25.574381264969396
2001,8,7156,5522,1614,59500,101736.29431626337,77.1660145332588,22.554499720514254
2001,9,8229,6875,1334,81500,139353.075407991,83.54599586827075,16.210961234657915
2001,NA,3,3,0,36100,61725.71806415307,100,0
2002,1,10580,8209,2334,56900,96261.43040089087,77.58979206049149,22.060491493383743
2002,10,10153,8541,1601,96900,163932.03173719376,84.12291933418695,15.768738303949572
2002,11,11198,10392,802,119800,202673.45100222717,92.80228612252188,7.161993213073763
2002,12,6294,3863,2410,44800,75791.07349665924,61.37591356847791,38.290435335239906
2002,13,10325,9672,651,113300,191676.97828507796,93.67554479418885,6.305084745762713
2002,14,11388,9572,1805,100200,169514.85634743876,84.05338953284158,15.85001756234633
2002,15,8365,4592,3633,31200,52783.06904231626,54.89539748953975,43.43096234309623
2002,2,9375,8101,1253,78100,132126.8491091314,86.41066666666667,13.365333333333334
2002,3,5975,4303,1669,167300,283032.29008908686,72.01673640167364,27.93305439330544
2002,4,1876,1259,614,117050,198021.09716035635,67.11087420042644,32.72921108742004
2002,5,11394,10332,1049,104200,176281.91648106906,90.67930489731437,9.206599964893805
2002,6,9005,5394,3518,37800,63948.71826280624,59.90005552470849,39.06718489727929
