year,city_nhood,parcels,own_ocp,landlord,median_value,median_value_adj,pct_own_ocp,pct_landlord
1992,HILLTOP PARISH,1,0,1,946000,2051631.5917202001,0,100
1992,HISTORIC MITCHELL STREET,1674,1005,667,29600,64194.81513204854,60.0358422939068,39.84468339307049
1992,HOLLER PARK,164,163,1,81600,176969.4903640257,99.39024390243902,0.6097560975609756
1992,HONEY CREEK MANOR,907,854,53,71300,154631.42969307638,94.15656008820287,5.843439911797133
1992,HONEY CREEK PARKWAY,434,394,40,67900,147257.70092790865,90.78341013824884,9.216589861751153
1992,JACKSON PARK,2453,2273,179,76800,166559.52034261244,92.66204647370566,7.2971871178149215
1992,JOHNSON'S WOODS,924,800,124,54000,117112.16274089937,86.58008658008657,13.41991341991342
1992,JUNEAU TOWN,297,259,38,128700,279117.3211991435,87.20538720538721,12.794612794612794
1992,KILBOURN TOWN,2,1,1,13150,28518.98037116346,50,50
1992,KING PARK,181,87,93,17200,37302.39257673091,48.06629834254144,51.38121546961326
1992,KOPS PARK,1167,1080,87,59500,129040.25339043542,92.54498714652956,7.455012853470437
1992,LAND BANK,18,16,2,76800,166559.52034261246,88.88888888888889,11.11111111111111
1992,LAYTON PARK,1681,1380,300,50800,110172.18272662385,82.09399167162404,17.846519928613922
1992,LENOX HEIGHTS,460,394,66,52300,113425.29835831551,85.65217391304348,14.347826086956522
1992,LINCOLN CREEK,1970,1614,355,37800,81978.51391862956,81.92893401015229,18.02030456852792
1992,LINCOLN PARK,1443,1151,287,34500,74821.65952890793,79.76437976437977,19.88911988911989
1992,LINCOLN VILLAGE,2136,1471,663,35900,77857.90078515347,68.86704119850188,31.03932584269663
1992,LINDSAY PARK,1059,963,96,69500,150727.6909350464,90.93484419263456,9.06515580736544
1992,LITTLE MENOMONEE PARKWAY,261,244,17,59600,129257.12776588152,93.48659003831418,6.513409961685824
1992,LONG VIEW,915,829,85,50500,109521.55960028552,90.60109289617486,9.289617486338798
1992,LOWER EAST SIDE,1145,739,406,61100,132510.24339757318,64.5414847161572,35.45851528384279
1992,LYONS PARK,545,504,41,73300,158968.91720199859,92.4770642201835,7.522935779816514
1992,MACK ACRES,69,65,4,88900,192801.31977159175,94.20289855072464,5.797101449275362
