year,owner_type2,aldermanic,parcels,median_value,median_value_adj
1993,bank,3,4,93700,197296.61607761605
1993,bank,4,2,50750,106860.22695772695
1993,bank,5,2,58450,123073.50277200276
1993,bank,6,6,27700,58325.68052668052
1993,bank,7,15,37500,78960.75883575882
1993,bank,8,7,49200,103596.51559251559
1993,bank,9,2,36600,77065.70062370061
1993,outside WI landlord,1,147,39000,82119.18918918919
1993,outside WI landlord,10,69,51100,107597.19404019402
1993,outside WI landlord,11,35,71800,151183.5329175329
1993,outside WI landlord,12,53,27100,57062.30838530838
1993,outside WI landlord,13,36,69250,145814.2013167013
1993,outside WI landlord,14,73,56000,117914.73319473318
1993,outside WI landlord,15,122,24150,50850.72869022869
1993,outside WI landlord,2,66,47600,100227.52321552321
1993,outside WI landlord,3,83,73700,155184.21136521135
1993,outside WI landlord,4,27,41500,87383.23977823977
1993,outside WI landlord,5,80,69850,147077.57345807343
1993,outside WI landlord,6,138,23200,48850.38946638946
1993,outside WI landlord,7,128,46450,97806.05994455994
1993,outside WI landlord,8,54,42650,89804.70304920303
1993,outside WI landlord,9,99,43800,92226.1663201663
1993,owner occupied,1,8537,36600,77065.70062370061
1993,owner occupied,10,8520,56400,118756.98128898127
1993,owner occupied,11,10389,75900,159816.57588357586
1993,owner occupied,12,4060,31200,65695.35135135135
1993,owner occupied,13,9578,70700,148867.35065835065
1993,owner occupied,14,9631,60100,126547.77616077615
1993,owner occupied,15,4603,23300,49060.95148995148
1993,owner occupied,2,8205,49100,103385.95356895356
1993,owner occupied,3,4237,85400,179819.9681219681
1993,owner occupied,4,798,46000,96858.53083853083
1993,owner occupied,5,10173,64700,136233.62924462924
1993,owner occupied,6,5560,24300,51166.57172557172
1993,owner occupied,7,8697,40500,85277.61954261953
1993,owner occupied,8,5495,45900,96647.9688149688
1993,owner occupied,9,6766,61900,130337.89258489257
1993,owner occupied,NA,5,23500,49482.07553707553
1993,rest of Wisconsin landlord,1,101,33400,70327.71586971586
1993,rest of Wisconsin landlord,10,73,50300,105912.69785169784
1993,rest of Wisconsin landlord,11,35,77800,163817.2543312543
1993,rest of Wisconsin landlord,12,117,29200,61484.11088011087
1993,rest of Wisconsin landlord,13,35,65100,137075.87733887733
1993,rest of Wisconsin landlord,14,93,56400,118756.98128898127
1993,rest of Wisconsin landlord,15,131,20500,43165.21483021483
1993,rest of Wisconsin landlord,2,65,47000,98964.15107415106
1993,rest of Wisconsin landlord,3,47,77400,162975.00623700622
1993,rest of Wisconsin landlord,4,14,20350,42849.37179487179
